irn,RG Number,Record on the Internet,Record on the Intranet,Has Transcript?
511311,RG-50.165.0090,Yes,Yes,yes
511312,RG-50.165.0091,Yes,Yes,Yes
511313,RG-50.165.0092,Yes,Yes,Yes
511314,RG-50.165.0093,Yes,Yes,Yes
511315,RG-50.165.0094,Yes,Yes,Yes
517679,RG-50.165.0095,No,No,Yes
511316,RG-50.165.0096,Yes,Yes,Yes
511317,RG-50.165.0097,Yes,Yes,no
511318,RG-50.165.0098,Yes,Yes,Yes
511319,RG-50.165.0099,Yes,Yes,no
511320,RG-50.165.0100,Yes,Yes,yes
511321,RG-50.165.0101,Yes,Yes,Yes
511322,RG-50.165.0102,Yes,Yes,Yes
511323,RG-50.165.0103,Yes,Yes,Yes
511324,RG-50.165.0104,Yes,Yes,Yes
511325,RG-50.165.0105,Yes,Yes,Yes
511326,RG-50.165.0106,Yes,Yes,yes
511327,RG-50.165.0107,Yes,Yes,Yes
511328,RG-50.165.0108,Yes,Yes,no
511329,RG-50.165.0109,Yes,Yes,Yes
511330,RG-50.165.0110,Yes,Yes,no
511331,RG-50.165.0111,Yes,Yes,Yes
518028,RG-50.165.0112,No,No,Yes
511332,RG-50.165.0113,Yes,Yes,No
511333,RG-50.165.0114,Yes,Yes,Yes
511334,RG-50.165.0115,Yes,Yes,Yes
511335,RG-50.165.0117,Yes,Yes,yes
511336,RG-50.165.0118,Yes,Yes,yes
511337,RG-50.165.0119,Yes,Yes,Yes
511338,RG-50.165.0120,Yes,Yes,Yes
511339,RG-50.165.0121,Yes,Yes,Yes
511340,RG-50.165.0122,Yes,Yes,no
511341,RG-50.165.0123,Yes,Yes,yes
511342,RG-50.165.0124,Yes,Yes,yes
511343,RG-50.165.0125,Yes,Yes,Yes
511344,RG-50.165.0126,Yes,Yes,Yes
518024,RG-50.165.0127,Yes,Yes,Yes
511345,RG-50.165.0128,Yes,Yes,yes
511346,RG-50.165.0129,Yes,Yes,yes
511347,RG-50.165.0130,Yes,Yes,yes
511348,RG-50.165.0131,Yes,Yes,yes
511349,RG-50.165.0132,Yes,Yes,yes
511350,RG-50.165.0133,Yes,Yes,yes
511351,RG-50.165.0134,Yes,Yes,Yes
511352,RG-50.165.0135,Yes,Yes,yes
511353,RG-50.165.0136,Yes,Yes,yes
511354,RG-50.165.0137,Yes,Yes,yes
511355,RG-50.165.0139,Yes,Yes,no
505513,RG-50.166.0001,Yes,Yes,no
505514,RG-50.166.0002,Yes,Yes,no
507341,RG-50.166.0003,Yes,Yes,no
505515,RG-50.166.0004,Yes,Yes,Yes
505516,RG-50.166.0005,Yes,Yes,Yes
505517,RG-50.166.0006,Yes,Yes,no
505518,RG-50.166.0007,Yes,Yes,no
505519,RG-50.166.0008,Yes,Yes,no
505520,RG-50.166.0009,Yes,Yes,no
505521,RG-50.166.0010,Yes,Yes,Yes
505522,RG-50.166.0011,Yes,Yes,no
505523,RG-50.166.0012,Yes,Yes,no
505524,RG-50.166.0013,Yes,Yes,no
505525,RG-50.166.0014,Yes,Yes,Yes
505526,RG-50.166.0015,Yes,Yes,no
505527,RG-50.166.0016,Yes,Yes,no
507347,RG-50.166.0017,Yes,Yes,no
505528,RG-50.166.0018,Yes,Yes,Yes
505529,RG-50.166.0019,Yes,Yes,no
505530,RG-50.166.0020,Yes,Yes,no
505531,RG-50.166.0021,Yes,Yes,no
505532,RG-50.166.0022,Yes,Yes,no
505533,RG-50.166.0023,Yes,Yes,no
505534,RG-50.166.0024,Yes,Yes,Yes
505535,RG-50.166.0025,Yes,Yes,no
505536,RG-50.166.0026,Yes,Yes,no
505537,RG-50.166.0027,Yes,Yes,no
505538,RG-50.166.0028,Yes,Yes,Yes
505539,RG-50.166.0029,Yes,Yes,No
505540,RG-50.166.0030,Yes,Yes,no
505541,RG-50.166.0031,Yes,Yes,no
505542,RG-50.166.0032,Yes,Yes,No
505543,RG-50.166.0033,Yes,Yes,no
505544,RG-50.166.0034,Yes,Yes,Yes
505545,RG-50.166.0035,Yes,Yes,Yes
505546,RG-50.166.0036,Yes,Yes,no
505547,RG-50.166.0037,Yes,Yes,no
505548,RG-50.166.0038,Yes,Yes,Yes
505549,RG-50.166.0039,Yes,Yes,no
563444,RG-50.167.0001,Yes,Yes,No
508992,RG-50.168.0001,Yes,Yes,no
511178,RG-50.169.0001,Yes,Yes,no
512179,RG-50.170.0001,Yes,Yes,no
512180,RG-50.171.0001,Yes,Yes,no
594392,RG-50.172.0001,Yes,Yes,No
595062,RG-50.173.0001,Yes,Yes,No
512258,RG-50.174.0001,Yes,Yes,no
512181,RG-50.175.0001,Yes,Yes,no
512182,RG-50.176.0001,Yes,Yes,no
520377,RG-50.177.0001,Yes,Yes,no
512183,RG-50.178.0001,Yes,Yes,no
512184,RG-50.179.0001,Yes,Yes,no
512185,RG-50.180.0001,Yes,Yes,no
512192,RG-50.181.0001,Yes,Yes,no
512193,RG-50.182.0001,Yes,Yes,no
512194,RG-50.182.0002,Yes,Yes,no
512195,RG-50.183.0001,Yes,Yes,no
512251,RG-50.184.0001,Yes,Yes,no
512196,RG-50.185.0001,Yes,Yes,no
509007,RG-50.187.0001,Yes,Yes,no
520378,RG-50.188.0001,Yes,Yes,no
512197,RG-50.189.0001,Yes,Yes,no
512198,RG-50.190.0001,Yes,Yes,no
512199,RG-50.191.0001,Yes,Yes,no
512200,RG-50.192.0001,Yes,Yes,no
512201,RG-50.193.0001,Yes,Yes,no
512202,RG-50.194.0001,Yes,Yes,no
511179,RG-50.195.0001,Yes,Yes,no
520379,RG-50.196.0001,Yes,Yes,no
520434,RG-50.197.0001,Yes,Yes,no
520380,RG-50.198.0001,Yes,Yes,no
520406,RG-50.199.0001,Yes,Yes,no
512203,RG-50.200.0001,Yes,Yes,no
520404,RG-50.201.0001,Yes,Yes,no
520405,RG-50.201.0002,Yes,Yes,no
520408,RG-50.202.0001,Yes,Yes,no
520407,RG-50.203.0001,Yes,Yes,no
520411,RG-50.204.0001,Yes,Yes,no
512590,RG-50.205.0001,Yes,Yes,no
512591,RG-50.205.0002,Yes,Yes,no
512592,RG-50.205.0003,Yes,Yes,no
512593,RG-50.205.0004,Yes,Yes,no
512594,RG-50.205.0005,Yes,Yes,no
512595,RG-50.205.0006,Yes,Yes,no
512596,RG-50.205.0007,Yes,Yes,no
512597,RG-50.205.0008,Yes,Yes,no
512598,RG-50.205.0009,Yes,Yes,no
512599,RG-50.205.0010,Yes,Yes,no
512600,RG-50.205.0011,Yes,Yes,no
512601,RG-50.205.0012,Yes,Yes,no
512602,RG-50.205.0013,Yes,Yes,no
512603,RG-50.205.0014,Yes,Yes,no
512604,RG-50.205.0015,Yes,Yes,no
512605,RG-50.205.0016,Yes,Yes,no
512606,RG-50.205.0017,Yes,Yes,no
512607,RG-50.205.0018,Yes,Yes,no
512608,RG-50.205.0019,Yes,Yes,no
512609,RG-50.205.0020,Yes,Yes,no
512610,RG-50.205.0021,Yes,Yes,no
512611,RG-50.205.0022,Yes,Yes,no
512612,RG-50.205.0023,Yes,Yes,no
512613,RG-50.205.0024,Yes,Yes,no
512614,RG-50.205.0025,Yes,Yes,no
512615,RG-50.205.0026,Yes,Yes,no
512616,RG-50.205.0027,Yes,Yes,no
512617,RG-50.205.0028,Yes,Yes,no
512618,RG-50.205.0029,Yes,Yes,no
512619,RG-50.205.0030,Yes,Yes,no
512620,RG-50.205.0031,Yes,Yes,no
512621,RG-50.205.0032,Yes,Yes,no
512622,RG-50.205.0033,Yes,Yes,no
709030,RG-50.205.0034,Yes,Yes,no
709042,RG-50.205.0035,Yes,Yes,no
709044,RG-50.205.0036,Yes,Yes,no
709045,RG-50.205.0037,Yes,Yes,no
709046,RG-50.205.0038,Yes,Yes,no
709047,RG-50.205.0039,Yes,Yes,no
520410,RG-50.206.0001,Yes,Yes,no
520409,RG-50.207.0001,Yes,Yes,no
84262,RG-50.208.0001,Yes,Yes,no
520381,RG-50.209.0001,Yes,Yes,no
512204,RG-50.210.0001,Yes,Yes,no
512205,RG-50.211.0001,Yes,Yes,no
512206,RG-50.212.0001,Yes,Yes,no
509011,RG-50.213.0001,Yes,Yes,no
509008,RG-50.214.0001,Yes,Yes,no
520382,RG-50.215.0001,Yes,Yes,no
512207,RG-50.216.0001,Yes,Yes,no
512256,RG-50.217.0001,Yes,Yes,no
512208,RG-50.218.0001,Yes,Yes,no
594971,RG-50.219.0001,Yes,Yes,No
594974,RG-50.219.0002,Yes,Yes,No
594976,RG-50.219.0003,Yes,Yes,No
594977,RG-50.219.0004,Yes,Yes,No
594978,RG-50.219.0005,Yes,Yes,No
594979,RG-50.219.0006,Yes,Yes,No
594982,RG-50.219.0007,Yes,Yes,No
594989,RG-50.219.0008,Yes,Yes,No
594983,RG-50.219.0009,Yes,Yes,No
594984,RG-50.219.0010,Yes,Yes,No
594985,RG-50.219.0011,Yes,Yes,No
594986,RG-50.219.0012,Yes,Yes,No
594990,RG-50.219.0013,Yes,Yes,No
594987,RG-50.219.0014,Yes,Yes,No
594988,RG-50.219.0015,Yes,Yes,No
594991,RG-50.219.0016,Yes,Yes,No
512209,RG-50.220.0001,Yes,Yes,no
511180,RG-50.221.0001,Yes,Yes,no
511182,RG-50.222.0001,Yes,Yes,no
512768,RG-50.223.0001,Yes,Yes,no
512769,RG-50.223.0002,Yes,Yes,no
512771,RG-50.223.0003,Yes,Yes,no
512772,RG-50.223.0004,Yes,Yes,no
512773,RG-50.223.0005,Yes,Yes,no
512774,RG-50.223.0006,Yes,Yes,no
512775,RG-50.223.0007,Yes,Yes,no
512776,RG-50.223.0008,Yes,Yes,no
512777,RG-50.223.0009,Yes,Yes,no
512778,RG-50.223.0010,Yes,Yes,no
512779,RG-50.223.0011,Yes,Yes,no
512780,RG-50.223.0012,Yes,Yes,no
512781,RG-50.223.0013,Yes,Yes,no
511181,RG-50.224.0001,Yes,Yes,no
507653,RG-50.225.0001,Yes,Yes,No
507764,RG-50.225.0002,Yes,Yes,no
507765,RG-50.225.0003,Yes,Yes,no
507766,RG-50.225.0004,Yes,Yes,no
507767,RG-50.225.0005,Yes,Yes,no
507768,RG-50.225.0006,Yes,Yes,no
507769,RG-50.225.0007,Yes,Yes,no
507770,RG-50.225.0008,Yes,Yes,no
507771,RG-50.225.0009,Yes,Yes,no
507772,RG-50.225.0010,Yes,Yes,no
507773,RG-50.225.0011,Yes,Yes,no
507774,RG-50.225.0012,Yes,Yes,no
507775,RG-50.225.0013,Yes,Yes,no
507776,RG-50.225.0014,Yes,Yes,no
507777,RG-50.225.0015,Yes,Yes,no
507778,RG-50.225.0016,Yes,Yes,no
507779,RG-50.225.0017,Yes,Yes,no
507780,RG-50.225.0018,Yes,Yes,no
507781,RG-50.225.0019,Yes,Yes,no
507782,RG-50.225.0020,Yes,Yes,no
507783,RG-50.225.0021,Yes,Yes,no
507784,RG-50.225.0022,Yes,Yes,no
507785,RG-50.225.0023,Yes,Yes,no
507786,RG-50.225.0024,Yes,Yes,no
507787,RG-50.225.0025,Yes,Yes,no
507788,RG-50.225.0026,Yes,Yes,no
511908,RG-50.226.0001,Yes,Yes,No
511909,RG-50.226.0002,Yes,Yes,No
511910,RG-50.226.0003,Yes,Yes,No
511911,RG-50.226.0004,Yes,Yes,No
511912,RG-50.226.0005,Yes,Yes,No
511913,RG-50.226.0006,Yes,Yes,No
511914,RG-50.226.0007,Yes,Yes,yes
511915,RG-50.226.0008,Yes,Yes,yes
511916,RG-50.226.0009,Yes,Yes,yes
511917,RG-50.226.0010,Yes,Yes,yes
511918,RG-50.226.0011,Yes,Yes,No
511919,RG-50.226.0012,Yes,Yes,No
511920,RG-50.226.0013,Yes,Yes,yes
511921,RG-50.226.0014,Yes,Yes,yes
511922,RG-50.226.0015,Yes,Yes,No
511923,RG-50.226.0016,Yes,Yes,yes
511924,RG-50.226.0017,Yes,Yes,yes
511925,RG-50.226.0018,Yes,Yes,yes
511926,RG-50.226.0019,Yes,Yes,yes
511927,RG-50.226.0020,Yes,Yes,yes
511928,RG-50.226.0021,Yes,Yes,yes
511929,RG-50.226.0022,Yes,Yes,No
511930,RG-50.226.0023,Yes,Yes,yes
511931,RG-50.226.0024,Yes,Yes,yes
511932,RG-50.226.0025,Yes,Yes,yes
511933,RG-50.226.0026,Yes,Yes,yes
511934,RG-50.226.0027,Yes,Yes,yes
511935,RG-50.226.0028,Yes,Yes,yes
511936,RG-50.226.0029,Yes,Yes,no
511937,RG-50.226.0030,Yes,Yes,No
511938,RG-50.226.0031,Yes,Yes,yes
511939,RG-50.226.0032,Yes,Yes,No
511940,RG-50.226.0033,Yes,Yes,No
511941,RG-50.226.0034,Yes,Yes,yes
511942,RG-50.226.0035,Yes,Yes,yes
511943,RG-50.226.0036,Yes,Yes,yes
511944,RG-50.226.0037,Yes,Yes,No
511945,RG-50.226.0038,Yes,Yes,no
511946,RG-50.226.0039,Yes,Yes,No
511948,RG-50.226.0040,Yes,Yes,No
511949,RG-50.226.0041,Yes,Yes,No
512623,RG-50.227.0001,Yes,Yes,no
512624,RG-50.227.0002,Yes,Yes,no
512625,RG-50.227.0003,Yes,Yes,no
512626,RG-50.227.0004,Yes,Yes,no
512627,RG-50.227.0005,Yes,Yes,no
512628,RG-50.227.0006,Yes,Yes,no
512629,RG-50.227.0007,Yes,Yes,no
512630,RG-50.227.0008,Yes,Yes,no
512631,RG-50.227.0009,Yes,Yes,no
512632,RG-50.227.0010,Yes,Yes,no
512633,RG-50.227.0011,Yes,Yes,no
512634,RG-50.227.0012,Yes,Yes,no
512635,RG-50.227.0013,Yes,Yes,no
512636,RG-50.227.0014,Yes,Yes,no
512637,RG-50.227.0015,Yes,Yes,no
512638,RG-50.227.0016,Yes,Yes,no
512639,RG-50.227.0017,Yes,Yes,no
512641,RG-50.227.0018,Yes,Yes,no
512642,RG-50.227.0019,Yes,Yes,no
512643,RG-50.228.0001,Yes,Yes,No
512644,RG-50.228.0002,Yes,Yes,No
512645,RG-50.228.0003,Yes,Yes,No
512646,RG-50.228.0004,Yes,Yes,No
512647,RG-50.228.0005,Yes,Yes,No
512648,RG-50.228.0006,Yes,Yes,No
512649,RG-50.228.0007,Yes,Yes,No
512650,RG-50.228.0008,Yes,Yes,No
511183,RG-50.229.0001,Yes,Yes,Yes
512210,RG-50.230.0001,Yes,Yes,no
507931,RG-50.231.0001,Yes,Yes,no
507970,RG-50.231.0002,Yes,Yes,no
507971,RG-50.231.0003,Yes,Yes,no
507972,RG-50.231.0004,Yes,Yes,no
507973,RG-50.231.0005,Yes,Yes,no
507974,RG-50.231.0006,Yes,Yes,no
507975,RG-50.231.0007,Yes,Yes,no
507976,RG-50.231.0008,Yes,Yes,no
507977,RG-50.231.0009,Yes,Yes,no
507978,RG-50.231.0010,Yes,Yes,no
507979,RG-50.231.0011,Yes,Yes,no
507980,RG-50.231.0012,Yes,Yes,no
507981,RG-50.231.0013,Yes,Yes,no
507982,RG-50.231.0014,Yes,Yes,no
507983,RG-50.231.0015,Yes,Yes,no
507984,RG-50.231.0016,Yes,Yes,no
507985,RG-50.231.0017,Yes,Yes,no
507986,RG-50.231.0018,Yes,Yes,no
507987,RG-50.231.0019,Yes,Yes,no
507988,RG-50.231.0020,Yes,Yes,no
507989,RG-50.231.0021,Yes,Yes,no
507990,RG-50.231.0022,Yes,Yes,no
507991,RG-50.231.0023,Yes,Yes,no
507992,RG-50.231.0024,Yes,Yes,no
507993,RG-50.231.0025,Yes,Yes,no
507994,RG-50.231.0026,Yes,Yes,no
507995,RG-50.231.0027,Yes,Yes,no
507996,RG-50.231.0028,Yes,Yes,no
507997,RG-50.231.0029,Yes,Yes,no
507998,RG-50.231.0030,Yes,Yes,no
507999,RG-50.231.0031,Yes,Yes,no
508000,RG-50.231.0032,Yes,Yes,no
508001,RG-50.231.0033,Yes,Yes,no
508002,RG-50.231.0034,Yes,Yes,no
508003,RG-50.231.0035,Yes,Yes,no
508004,RG-50.231.0036,Yes,Yes,no
513299,RG-50.232.0001,Yes,Yes,no
513745,RG-50.232.0002,Yes,Yes,no
513746,RG-50.232.0003,Yes,Yes,no
513747,RG-50.232.0004,Yes,Yes,no
513748,RG-50.232.0005,Yes,Yes,no
513749,RG-50.232.0006,Yes,Yes,no
513750,RG-50.232.0007,Yes,Yes,no
513751,RG-50.232.0008,Yes,Yes,no
513752,RG-50.232.0009,Yes,Yes,no
513753,RG-50.232.0010,Yes,Yes,no
513754,RG-50.232.0011,Yes,Yes,no
513755,RG-50.232.0012,Yes,Yes,no
513756,RG-50.232.0013,Yes,Yes,no
513757,RG-50.232.0014,Yes,Yes,no
513759,RG-50.232.0015,Yes,Yes,no
513760,RG-50.232.0016,Yes,Yes,no
513763,RG-50.232.0017,Yes,Yes,no
513761,RG-50.232.0018,Yes,Yes,no
513764,RG-50.232.0019,Yes,Yes,no
513765,RG-50.232.0020,Yes,Yes,no
513766,RG-50.232.0021,Yes,Yes,no
513772,RG-50.232.0022,Yes,Yes,no
513768,RG-50.232.0023,Yes,Yes,no
513774,RG-50.232.0024,Yes,Yes,no
513775,RG-50.232.0025,Yes,Yes,no
513776,RG-50.232.0026,Yes,Yes,no
513778,RG-50.232.0027,Yes,Yes,no
513779,RG-50.232.0028,Yes,Yes,no
513782,RG-50.232.0029,Yes,Yes,no
513783,RG-50.232.0030,Yes,Yes,no
513784,RG-50.232.0031,Yes,Yes,no
513785,RG-50.232.0032,Yes,Yes,no
513786,RG-50.232.0033,Yes,Yes,no
513787,RG-50.232.0034,Yes,Yes,no
513788,RG-50.232.0035,Yes,Yes,no
513789,RG-50.232.0036,Yes,Yes,no
513790,RG-50.232.0037,Yes,Yes,no
513791,RG-50.232.0038,Yes,Yes,no
513792,RG-50.232.0039,Yes,Yes,no
513793,RG-50.232.0040,Yes,Yes,no
513794,RG-50.232.0041,Yes,Yes,no
513795,RG-50.232.0042,Yes,Yes,no
513796,RG-50.232.0043,Yes,Yes,no
513797,RG-50.232.0044,Yes,Yes,no
513798,RG-50.232.0045,Yes,Yes,no
513799,RG-50.232.0046,Yes,Yes,no
513800,RG-50.232.0047,Yes,Yes,no
513801,RG-50.232.0048,Yes,Yes,no
513802,RG-50.232.0049,Yes,Yes,no
513803,RG-50.232.0050,Yes,Yes,no
513804,RG-50.232.0051,Yes,Yes,no
513806,RG-50.232.0052,Yes,Yes,no
513807,RG-50.232.0053,Yes,Yes,no
513808,RG-50.232.0054,Yes,Yes,no
513809,RG-50.232.0055,Yes,Yes,no
513810,RG-50.232.0056,Yes,Yes,no
513811,RG-50.232.0057,Yes,Yes,no
513812,RG-50.232.0058,Yes,Yes,no
513813,RG-50.232.0059,Yes,Yes,no
513814,RG-50.232.0060,Yes,Yes,no
513815,RG-50.232.0061,Yes,Yes,no
513816,RG-50.232.0062,Yes,Yes,no
513817,RG-50.232.0063,Yes,Yes,no
513818,RG-50.232.0064,Yes,Yes,no
513819,RG-50.232.0065,Yes,Yes,no
513820,RG-50.232.0066,Yes,Yes,no
513821,RG-50.232.0067,Yes,Yes,no
513822,RG-50.232.0068,Yes,Yes,no
513823,RG-50.232.0069,Yes,Yes,no
513824,RG-50.232.0070,Yes,Yes,no
513825,RG-50.232.0071,Yes,Yes,no
513826,RG-50.232.0072,Yes,Yes,no
513827,RG-50.232.0073,Yes,Yes,no
513828,RG-50.232.0074,Yes,Yes,no
513829,RG-50.232.0075,Yes,Yes,no
513830,RG-50.232.0076,Yes,Yes,no
513831,RG-50.232.0077,Yes,Yes,no
513832,RG-50.232.0078,Yes,Yes,no
513833,RG-50.232.0079,Yes,Yes,no
513834,RG-50.232.0080,Yes,Yes,no
513835,RG-50.232.0081,Yes,Yes,no
513836,RG-50.232.0082,Yes,Yes,no
513837,RG-50.232.0083,Yes,Yes,no
513838,RG-50.232.0084,Yes,Yes,no
513839,RG-50.232.0085,Yes,Yes,no
513840,RG-50.232.0086,Yes,Yes,no
513841,RG-50.232.0087,Yes,Yes,no
513842,RG-50.232.0088,Yes,Yes,no
513843,RG-50.232.0089,Yes,Yes,no
513844,RG-50.232.0090,Yes,Yes,no
513845,RG-50.232.0091,Yes,Yes,no
513846,RG-50.232.0092,Yes,Yes,no
513848,RG-50.232.0093,Yes,Yes,no
513849,RG-50.232.0094,Yes,Yes,no
513851,RG-50.232.0095,Yes,Yes,no
513852,RG-50.232.0096,Yes,Yes,no
513853,RG-50.232.0097,Yes,Yes,no
513854,RG-50.232.0098,Yes,Yes,no
513855,RG-50.232.0099,Yes,Yes,no
513856,RG-50.232.0100,Yes,Yes,no
513857,RG-50.232.0101,Yes,Yes,no
513859,RG-50.232.0102,Yes,Yes,no
513860,RG-50.232.0103,Yes,Yes,no
513861,RG-50.232.0104,Yes,Yes,no
513862,RG-50.232.0105,Yes,Yes,no
513864,RG-50.232.0106,Yes,Yes,no
513866,RG-50.232.0107,Yes,Yes,no
513867,RG-50.232.0108,Yes,Yes,no
513868,RG-50.232.0109,Yes,Yes,no
513869,RG-50.232.0110,Yes,Yes,no
513870,RG-50.232.0111,Yes,Yes,no
513872,RG-50.232.0112,Yes,Yes,no
513873,RG-50.232.0113,Yes,Yes,no
513874,RG-50.232.0114,Yes,Yes,no
513875,RG-50.232.0115,Yes,Yes,no
513847,RG-50.232.0116,Yes,Yes,no
513863,RG-50.232.0117,Yes,Yes,no
509078,RG-50.233.0001,Yes,Yes,yes
509079,RG-50.233.0002,Yes,Yes,yes
509080,RG-50.233.0003,Yes,Yes,yes
509081,RG-50.233.0004,Yes,Yes,yes
509082,RG-50.233.0005,Yes,Yes,yes
509083,RG-50.233.0006,Yes,Yes,yes
509084,RG-50.233.0007,Yes,Yes,no
509085,RG-50.233.0008,Yes,Yes,yes
509086,RG-50.233.0010,Yes,Yes,yes
509087,RG-50.233.0011,Yes,Yes,yes
509088,RG-50.233.0012,Yes,Yes,yes
509089,RG-50.233.0013,Yes,Yes,no
509090,RG-50.233.0014,Yes,Yes,yes
509091,RG-50.233.0015,Yes,Yes,no
509092,RG-50.233.0016,Yes,Yes,no
509093,RG-50.233.0017,Yes,Yes,No
509094,RG-50.233.0018,Yes,Yes,no
509095,RG-50.233.0019,Yes,Yes,no
509098,RG-50.233.0020,Yes,Yes,yes
509099,RG-50.233.0021,Yes,Yes,yes
509100,RG-50.233.0022,Yes,Yes,yes
509101,RG-50.233.0023,Yes,Yes,no
509102,RG-50.233.0024,Yes,Yes,yes
509103,RG-50.233.0025,Yes,Yes,yes
509104,RG-50.233.0026,Yes,Yes,yes
509105,RG-50.233.0027,Yes,Yes,no
509106,RG-50.233.0028,Yes,Yes,no
509107,RG-50.233.0029,Yes,Yes,yes
509108,RG-50.233.0030,Yes,Yes,yes
509113,RG-50.233.0031,Yes,Yes,no
509114,RG-50.233.0032,Yes,Yes,yes
509115,RG-50.233.0033,Yes,Yes,no
509116,RG-50.233.0034,Yes,Yes,yes
509117,RG-50.233.0035,Yes,Yes,no
509118,RG-50.233.0036,Yes,Yes,yes
509119,RG-50.233.0037,Yes,Yes,yes
509120,RG-50.233.0038,Yes,Yes,no
509121,RG-50.233.0039,Yes,Yes,yes
509122,RG-50.233.0040,Yes,Yes,no
509123,RG-50.233.0041,Yes,Yes,yes
509124,RG-50.233.0042,Yes,Yes,yes
509125,RG-50.233.0043,Yes,Yes,yes
509126,RG-50.233.0044,Yes,Yes,yes
509127,RG-50.233.0045,Yes,Yes,no
509128,RG-50.233.0046,Yes,Yes,no
509129,RG-50.233.0047,Yes,Yes,no
509130,RG-50.233.0048,Yes,Yes,yes
509131,RG-50.233.0049,Yes,Yes,yes
509132,RG-50.233.0050,Yes,Yes,Yes
509133,RG-50.233.0051,Yes,Yes,yes
509134,RG-50.233.0052,Yes,Yes,no
509135,RG-50.233.0053,Yes,Yes,Yes
509136,RG-50.233.0054,Yes,Yes,no
509137,RG-50.233.0055,Yes,Yes,yes
509138,RG-50.233.0056,Yes,Yes,yes
509139,RG-50.233.0057,Yes,Yes,yes
509140,RG-50.233.0058,Yes,Yes,Yes
509141,RG-50.233.0059,Yes,Yes,yes
509142,RG-50.233.0060,Yes,Yes,yes
509143,RG-50.233.0061,Yes,Yes,Yes
509145,RG-50.233.0062,Yes,Yes,no
509146,RG-50.233.0063,Yes,Yes,no
509147,RG-50.233.0064,Yes,Yes,yes
509148,RG-50.233.0065,Yes,Yes,yes
509149,RG-50.233.0066,Yes,Yes,yes
509150,RG-50.233.0067,Yes,Yes,yes
509151,RG-50.233.0068,Yes,Yes,Yes
509152,RG-50.233.0069,Yes,Yes,yes
509153,RG-50.233.0070,Yes,Yes,yes
509154,RG-50.233.0071,Yes,Yes,no
509155,RG-50.233.0072,Yes,Yes,yes
509156,RG-50.233.0073,Yes,Yes,Yes
509157,RG-50.233.0074,Yes,Yes,yes
509158,RG-50.233.0075,Yes,Yes,yes
509159,RG-50.233.0076,Yes,Yes,no
509160,RG-50.233.0077,Yes,Yes,yes
509161,RG-50.233.0078,Yes,Yes,yes
509162,RG-50.233.0079,Yes,Yes,yes
509163,RG-50.233.0080,Yes,Yes,Yes
509164,RG-50.233.0081,Yes,Yes,no
509165,RG-50.233.0082,Yes,Yes,no
509166,RG-50.233.0083,Yes,Yes,yes
509167,RG-50.233.0084,Yes,Yes,yes
509168,RG-50.233.0085,Yes,Yes,no
509169,RG-50.233.0086,No,Yes,yes
509170,RG-50.233.0087,Yes,Yes,No
509171,RG-50.233.0088,Yes,Yes,yes
509172,RG-50.233.0089,Yes,Yes,yes
509173,RG-50.233.0090,Yes,Yes,yes
509174,RG-50.233.0091,Yes,Yes,yes
509175,RG-50.233.0092,Yes,Yes,yes
509176,RG-50.233.0093,Yes,Yes,yes
509177,RG-50.233.0094,Yes,Yes,yes
509178,RG-50.233.0095,Yes,Yes,yes
509179,RG-50.233.0096,Yes,Yes,yes
509180,RG-50.233.0097,Yes,Yes,yes
510904,RG-50.233.0098,Yes,Yes,no
509181,RG-50.233.0099,Yes,Yes,no
509182,RG-50.233.0100,Yes,Yes,yes
509183,RG-50.233.0101,Yes,Yes,yes
509184,RG-50.233.0102,Yes,Yes,yes
509185,RG-50.233.0103,Yes,Yes,Yes
509186,RG-50.233.0104,Yes,Yes,yes
509187,RG-50.233.0105,Yes,Yes,yes
509188,RG-50.233.0106,Yes,Yes,yes
509189,RG-50.233.0107,Yes,Yes,no
509190,RG-50.233.0108,Yes,Yes,yes
509191,RG-50.233.0109,Yes,Yes,no
509192,RG-50.233.0110,Yes,Yes,no
509193,RG-50.233.0111,Yes,Yes,yes
509194,RG-50.233.0112,Yes,Yes,yes
509195,RG-50.233.0113,Yes,Yes,yes
509196,RG-50.233.0114,Yes,Yes,yes
509197,RG-50.233.0115,Yes,Yes,yes
509198,RG-50.233.0116,Yes,Yes,yes
509199,RG-50.233.0117,Yes,Yes,yes
509200,RG-50.233.0118,Yes,Yes,no
509201,RG-50.233.0119,Yes,Yes,yes
509202,RG-50.233.0120,Yes,Yes,yes
509203,RG-50.233.0121,Yes,Yes,yes
509204,RG-50.233.0122,Yes,Yes,no
509205,RG-50.233.0123,Yes,Yes,no
509206,RG-50.233.0124,Yes,Yes,No
509207,RG-50.233.0125,Yes,Yes,yes
509208,RG-50.233.0126,Yes,Yes,yes
509209,RG-50.233.0127,Yes,Yes,no
509210,RG-50.233.0128,Yes,Yes,no
509211,RG-50.233.0129,Yes,Yes,Yes
509212,RG-50.233.0130,Yes,Yes,no
509213,RG-50.233.0131,Yes,Yes,yes
509214,RG-50.233.0132,Yes,Yes,yes
509215,RG-50.233.0133,Yes,Yes,yes
509216,RG-50.233.0134,Yes,Yes,yes
509217,RG-50.233.0135,Yes,Yes,yes
509218,RG-50.233.0136,Yes,Yes,yes
509219,RG-50.233.0137,Yes,Yes,yes
509220,RG-50.233.0138,Yes,Yes,no
509221,RG-50.233.0139,Yes,Yes,Yes
