irn,RG Number,Record on the Internet,Record on the Intranet,Has Transcript?
507620,RG-50.002.0135,Yes,Yes,no
507621,RG-50.002.0136,Yes,Yes,no
507862,RG-50.002.0137,Yes,Yes,no
507622,RG-50.002.0138,Yes,Yes,no
507623,RG-50.002.0139,Yes,Yes,no
507863,RG-50.002.0140,Yes,Yes,no
507624,RG-50.002.0141,Yes,Yes,no
507864,RG-50.002.0142,Yes,Yes,no
507865,RG-50.002.0143,Yes,Yes,no
507625,RG-50.002.0144,Yes,Yes,no
507626,RG-50.002.0145,Yes,Yes,no
507627,RG-50.002.0146,Yes,Yes,no
507628,RG-50.002.0147,Yes,Yes,no
507629,RG-50.002.0148,Yes,Yes,no
504446,RG-50.002.0149,Yes,Yes,no
507630,RG-50.002.0150,Yes,Yes,no
507866,RG-50.002.0151,Yes,Yes,no
507631,RG-50.002.0152,Yes,Yes,no
507632,RG-50.002.0153,Yes,Yes,no
507869,RG-50.002.0154,Yes,Yes,no
507633,RG-50.002.0155,Yes,Yes,no
507634,RG-50.002.0156,Yes,Yes,no
507635,RG-50.002.0157,Yes,Yes,no
507636,RG-50.002.0158,Yes,Yes,no
507637,RG-50.002.0159,Yes,Yes,no
507638,RG-50.002.0160,Yes,Yes,no
507639,RG-50.002.0161,Yes,Yes,no
507640,RG-50.002.0162,Yes,Yes,no
507641,RG-50.002.0163,Yes,Yes,no
507642,RG-50.002.0164,Yes,Yes,no
507643,RG-50.002.0165,Yes,Yes,no
507644,RG-50.002.0166,Yes,Yes,no
507645,RG-50.002.0167,Yes,Yes,no
507646,RG-50.002.0168,Yes,Yes,no
507647,RG-50.002.0169,Yes,Yes,no
507870,RG-50.002.0170,Yes,Yes,no
507648,RG-50.002.0171,Yes,Yes,no
507649,RG-50.002.0172,Yes,Yes,no
507871,RG-50.002.0173,Yes,Yes,no
507650,RG-50.002.0174,Yes,Yes,no
507651,RG-50.002.0175,Yes,Yes,no
507872,RG-50.002.0176,Yes,Yes,no
507652,RG-50.002.0177,Yes,Yes,no
507654,RG-50.002.0178,Yes,Yes,no
507655,RG-50.002.0179,Yes,Yes,No
507658,RG-50.002.0180,Yes,Yes,no
507659,RG-50.002.0181,Yes,Yes,no
507660,RG-50.002.0182,Yes,Yes,no
507671,RG-50.002.0183,Yes,Yes,no
507672,RG-50.002.0184,Yes,Yes,no
507873,RG-50.002.0185,Yes,Yes,no
507673,RG-50.002.0186,Yes,Yes,no
507674,RG-50.002.0187,Yes,Yes,no
507675,RG-50.002.0188,Yes,Yes,no
507676,RG-50.002.0189,Yes,Yes,no
507677,RG-50.002.0190,Yes,Yes,no
507874,RG-50.002.0191,Yes,Yes,no
507678,RG-50.002.0192,Yes,Yes,no
507875,RG-50.002.0193,Yes,Yes,no
507876,RG-50.002.0194,Yes,Yes,no
507679,RG-50.002.0195,Yes,Yes,no
507680,RG-50.002.0196,Yes,Yes,no
507681,RG-50.002.0197,Yes,Yes,no
507753,RG-50.002.0198,Yes,Yes,no
507754,RG-50.002.0199,Yes,Yes,no
507755,RG-50.002.0200,Yes,Yes,no
507756,RG-50.002.0201,Yes,Yes,no
507757,RG-50.002.0202,Yes,Yes,no
507758,RG-50.002.0203,Yes,Yes,no
507759,RG-50.002.0204,Yes,Yes,no
507760,RG-50.002.0205,Yes,Yes,no
507761,RG-50.002.0206,Yes,Yes,no
507762,RG-50.002.0207,Yes,Yes,no
508122,RG-50.002.0208,Yes,Yes,no
77052,RG-50.002.0209,Yes,Yes,no
693335,RG-50.002.0210,Yes,Yes,No
509384,RG-50.003.0001,No,No,no
508975,RG-50.004.0001,Yes,Yes,no
503574,RG-50.005.0001,Yes,Yes,No
503575,RG-50.005.0002,Yes,Yes,No
503577,RG-50.005.0003,Yes,Yes,No
503579,RG-50.005.0004,Yes,Yes,No
503580,RG-50.005.0005,Yes,Yes,No
503582,RG-50.005.0006,Yes,Yes,No
503583,RG-50.005.0007,Yes,Yes,No
503585,RG-50.005.0008,Yes,Yes,No
503587,RG-50.005.0009,Yes,Yes,Yes
503589,RG-50.005.0010,Yes,Yes,No
503591,RG-50.005.0011,Yes,Yes,No
503593,RG-50.005.0012,Yes,Yes,No
503595,RG-50.005.0013,Yes,Yes,No
503597,RG-50.005.0014,Yes,Yes,No
503599,RG-50.005.0015,Yes,Yes,No
503601,RG-50.005.0016,Yes,Yes,No
503602,RG-50.005.0017,Yes,Yes,Yes
503605,RG-50.005.0018,Yes,Yes,No
503606,RG-50.005.0019,Yes,Yes,Yes
503608,RG-50.005.0020,Yes,Yes,No
503610,RG-50.005.0021,Yes,Yes,No
